employeeid,attrition,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,environmentsatisfaction,jobsatisfaction,worklifebalance,jobinvolvement,performancerating,mean_time
1149,No,54,Travel_Rarely,Research & Development,1,3,Medical,1,Female,2,Human Resources,Single,23620,6.0,Y,13,8,1,9.0,2,5,1,4,3.0,1.0,3.0,4,3,10.512341915085823
1150,No,24,Travel_Rarely,Research & Development,5,4,Other,1,Male,1,Manufacturing Director,Single,178610,1.0,Y,11,8,2,4.0,5,4,1,2,2.0,3.0,2.0,1,3,6.875998155832179
1151,No,23,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,2,Research Scientist,Single,191870,1.0,Y,11,8,1,5.0,2,5,1,4,4.0,4.0,4.0,3,3,6.994301453352086
1152,No,40,Travel_Frequently,Research & Development,21,3,Medical,1,Female,3,Research Scientist,Married,197170,1.0,Y,21,8,0,10.0,1,10,9,4,4.0,3.0,4.0,2,4,7.811326648224994
1153,No,40,Travel_Rarely,Research & Development,8,1,Medical,1,Female,5,Research Scientist,Married,35440,3.0,Y,18,8,3,15.0,3,11,5,10,2.0,2.0,3.0,2,3,6.160280092592591
1154,No,25,Travel_Rarely,Sales,20,5,Medical,1,Female,2,Laboratory Technician,Married,85000,4.0,Y,12,8,0,6.0,2,2,1,2,3.0,2.0,3.0,3,3,6.20880445423397
1155,No,30,Travel_Rarely,Human Resources,20,4,Life Sciences,1,Male,2,Research Scientist,Married,46610,1.0,Y,11,8,0,12.0,3,12,1,7,4.0,2.0,2.0,2,3,6.082088249754178
1156,No,25,Travel_Rarely,Research & Development,7,2,Medical,1,Male,5,Sales Executive,Divorced,41030,6.0,Y,15,8,1,7.0,2,2,0,2,4.0,3.0,2.0,3,3,10.194130901287549
1157,No,47,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Sales Executive,Single,42490,2.0,Y,13,8,1,25.0,2,17,12,11,1.0,3.0,3.0,2,3,7.778402777777778
1158,No,33,Non-Travel,Research & Development,1,3,Life Sciences,1,Male,2,Research Scientist,Divorced,140260,1.0,Y,12,8,0,1.0,4,1,0,0,2.0,3.0,2.0,3,3,6.171750478927207
1159,No,38,Travel_Rarely,Research & Development,19,3,Life Sciences,1,Female,2,Sales Executive,Married,68930,0.0,Y,17,8,0,16.0,3,15,5,8,4.0,2.0,3.0,3,3,7.904476359338063
1160,No,31,Travel_Rarely,Research & Development,10,4,Medical,1,Female,3,Sales Executive,Married,61250,0.0,Y,13,8,1,3.0,3,2,1,2,1.0,3.0,3.0,3,3,7.1808140096618365
1161,No,38,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Research Scientist,Married,36690,2.0,Y,19,8,0,10.0,2,8,7,7,1.0,3.0,3.0,3,3,6.509626951331491
1162,No,42,Travel_Rarely,Research & Development,6,3,Medical,1,Male,2,Laboratory Technician,Divorced,100080,6.0,Y,19,8,1,9.0,3,4,1,2,4.0,1.0,2.0,1,3,9.767906420765025
1163,No,41,Travel_Rarely,Sales,2,2,Medical,1,Male,1,Healthcare Representative,Married,23870,3.0,Y,17,8,1,12.0,1,5,1,0,4.0,4.0,3.0,1,3,7.698772554605892
1164,No,47,Non-Travel,Research & Development,21,2,Medical,1,Male,1,Sales Executive,Married,46390,0.0,Y,11,8,1,14.0,2,13,5,12,3.0,2.0,1.0,2,3,7.228134756657481
1165,No,35,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Male,2,Healthcare Representative,Married,78980,7.0,Y,15,8,0,5.0,2,2,2,2,4.0,3.0,3.0,2,3,10.398788841807908
1166,No,22,Travel_Rarely,Human Resources,12,1,Human Resources,1,Male,2,Sales Executive,Single,25340,0.0,Y,11,8,0,4.0,1,3,1,2,4.0,3.0,4.0,3,3,6.400190058479536
1167,No,35,Travel_Rarely,Research & Development,9,3,Medical,1,Female,2,Sales Executive,Single,131420,1.0,Y,25,8,2,10.0,4,10,0,8,2.0,3.0,3.0,3,4,8.00488243430152
1168,No,33,Travel_Rarely,Sales,3,4,Medical,1,Male,3,Healthcare Representative,Married,16110,0.0,Y,14,8,0,10.0,2,9,8,1,2.0,4.0,3.0,2,3,9.103674504379894
1169,No,32,Travel_Rarely,Research & Development,3,2,Technical Degree,1,Male,3,Manufacturing Director,Single,53630,1.0,Y,13,8,0,6.0,4,6,4,1,3.0,2.0,3.0,3,3,6.986453779599275
1170,No,40,Travel_Rarely,Research & Development,1,4,Medical,1,Male,2,Research Director,Married,50710,8.0,Y,17,8,1,8.0,3,1,0,0,1.0,4.0,2.0,2,3,6.164745370370367
1171,No,32,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,Sales Executive,Married,136950,0.0,Y,13,8,0,3.0,3,2,2,2,2.0,2.0,3.0,3,3,6.009841772151896
1172,No,39,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Sales Executive,Single,134020,7.0,Y,14,8,1,18.0,1,7,1,7,1.0,4.0,3.0,3,3,8.018078206962327
1173,No,38,Travel_Rarely,Sales,20,4,Medical,1,Female,2,Research Director,Married,20290,3.0,Y,11,8,1,20.0,3,18,1,11,2.0,3.0,3.0,2,3,8.000954106280199
1174,No,32,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,2,Manager,Married,63770,1.0,Y,12,8,2,14.0,3,14,5,7,3.0,4.0,3.0,3,3,7.898323877068561
1175,No,37,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,4,Sales Executive,Married,54290,1.0,Y,17,8,1,16.0,3,16,6,8,3.0,4.0,3.0,3,3,9.385844859382205
1176,No,25,Travel_Rarely,Research & Development,2,4,Medical,1,Female,2,Manufacturing Director,Divorced,27850,0.0,Y,21,8,0,6.0,2,5,0,4,1.0,3.0,2.0,3,4,7.971588934613624
1177,No,52,Non-Travel,Research & Development,2,4,Other,1,Male,1,Manager,Divorced,46140,2.0,Y,16,8,1,16.0,3,9,0,0,1.0,4.0,2.0,3,3,6.804641393442621
1178,No,44,Travel_Rarely,Research & Development,8,1,Life Sciences,1,Female,1,Sales Representative,Single,26100,6.0,Y,15,8,0,6.0,2,4,1,2,2.0,4.0,3.0,3,3,10.805340038314172
1179,No,21,Travel_Rarely,Sales,10,5,Medical,1,Male,3,Research Scientist,Single,66870,1.0,Y,19,8,3,2.0,0,2,1,2,3.0,1.0,3.0,3,3,8.159645513714548
1180,No,39,Non-Travel,Research & Development,3,4,Life Sciences,1,Female,2,Research Director,Single,47240,2.0,Y,12,8,1,21.0,4,6,1,3,4.0,4.0,2.0,4,3,6.306303506375228
1181,Yes,23,Travel_Frequently,Research & Development,2,4,Life Sciences,1,Female,2,Manufacturing Director,Married,61790,1.0,Y,11,8,0,1.0,3,1,1,0,4.0,1.0,2.0,3,3,8.025331384015596
1182,No,36,Travel_Rarely,Research & Development,24,3,Life Sciences,1,Female,2,Laboratory Technician,Married,61200,0.0,Y,19,8,0,10.0,2,9,3,4,1.0,4.0,3.0,3,3,7.792490855052588
1183,No,36,Travel_Frequently,Research & Development,16,1,Medical,1,Male,2,Sales Executive,Divorced,105960,7.0,Y,15,8,0,18.0,3,4,0,2,4.0,2.0,3.0,2,3,7.844118408662902
1184,No,56,Non-Travel,Research & Development,8,1,Life Sciences,1,Male,1,Sales Executive,Divorced,54670,1.0,Y,20,8,0,13.0,6,13,1,9,3.0,3.0,2.0,2,4,6.5927970177970225
1185,Yes,29,Travel_Rarely,Research & Development,9,4,Medical,1,Male,2,Sales Representative,Married,29960,9.0,Y,25,8,0,4.0,4,2,2,2,1.0,4.0,4.0,3,4,10.90359311740891
1186,No,42,Travel_Rarely,Research & Development,17,1,Life Sciences,1,Male,3,Research Scientist,Married,99980,5.0,Y,24,8,2,24.0,3,22,4,14,1.0,3.0,2.0,2,4,7.398867258652092
1187,Yes,56,Travel_Rarely,Sales,10,4,Other,1,Male,2,Sales Executive,Married,40780,8.0,Y,24,8,1,14.0,3,10,9,8,4.0,3.0,1.0,3,4,6.820679413179411
1188,No,41,Travel_Rarely,Research & Development,13,4,Life Sciences,1,Female,1,Healthcare Representative,Married,109200,0.0,Y,15,8,1,21.0,3,20,0,10,1.0,2.0,3.0,4,3,7.800049645390068
1189,No,34,Travel_Rarely,Sales,1,3,Medical,1,Female,1,Laboratory Technician,Married,62320,1.0,Y,13,8,1,8.0,3,8,1,7,4.0,3.0,3.0,3,3,7.383625603864731
1190,No,36,Non-Travel,Sales,1,1,Medical,1,Female,1,Human Resources,Divorced,132470,1.0,Y,14,8,0,15.0,3,15,11,11,4.0,4.0,2.0,3,3,7.675329936923821
1191,No,41,Travel_Rarely,Research & Development,1,5,Medical,1,Male,1,Healthcare Representative,Divorced,40810,2.0,Y,13,8,0,14.0,3,5,0,4,3.0,2.0,3.0,3,3,7.091824074074072
1192,No,32,Travel_Rarely,Sales,9,4,Life Sciences,1,Female,2,Research Scientist,Single,57690,1.0,Y,11,8,0,4.0,3,4,1,2,4.0,1.0,3.0,3,3,6.725276595744679
1193,No,35,Travel_Rarely,Research & Development,16,3,Medical,1,Female,2,Healthcare Representative,Single,23940,1.0,Y,16,8,1,9.0,3,9,1,7,3.0,4.0,3.0,3,3,10.505156028368791
1194,No,38,Travel_Rarely,Research & Development,23,3,Medical,1,Male,3,Sales Representative,Married,39040,1.0,Y,22,8,0,10.0,3,10,1,9,1.0,4.0,3.0,2,4,6.905967035500227
1195,Yes,50,Travel_Frequently,Sales,4,2,Life Sciences,1,Female,2,Laboratory Technician,Divorced,167990,7.0,Y,14,8,1,12.0,2,6,0,1,2.0,3.0,3.0,2,3,7.2088948243114945
1196,No,36,Travel_Rarely,Research & Development,22,4,Life Sciences,1,Male,1,Healthcare Representative,Married,29500,4.0,Y,14,8,0,8.0,1,6,0,0,2.0,.,2.0,2,3,6.27728513770181
1197,No,45,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,1,Laboratory Technician,Single,36290,8.0,Y,16,8,1,8.0,2,5,0,1,4.0,3.0,3.0,4,3,6.076578117418726
1198,No,40,Travel_Rarely,Sales,10,4,Life Sciences,1,Male,1,Research Scientist,Single,93620,2.0,Y,11,8,1,8.0,6,2,2,2,3.0,3.0,.,3,3,6.211907956685499
1199,No,35,Travel_Frequently,Sales,7,2,Life Sciences,1,Male,2,Manufacturing Director,Married,32290,1.0,Y,25,8,0,10.0,2,10,0,2,3.0,3.0,4.0,2,4,8.430802336671434
1200,No,40,Travel_Rarely,Research & Development,17,4,Life Sciences,1,Male,1,Manager,Married,35780,2.0,Y,14,8,1,20.0,2,5,0,2,3.0,3.0,3.0,3,3,7.484193853427894
1201,No,35,Travel_Rarely,Human Resources,14,1,Life Sciences,1,Male,2,Research Scientist,Married,79880,1.0,Y,18,8,0,4.0,3,4,1,1,3.0,4.0,3.0,3,3,6.896099439775912
1202,No,29,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,Sales Executive,Married,42840,4.0,Y,11,8,0,10.0,5,4,0,3,4.0,2.0,3.0,2,3,9.817854683195597
1203,No,29,Travel_Rarely,Research & Development,5,3,Medical,1,Male,2,Sales Representative,Single,75530,1.0,Y,19,8,0,5.0,3,5,0,4,4.0,1.0,1.0,3,3,6.083963498622592
1204,Yes,50,Travel_Rarely,Research & Development,17,3,Medical,1,Male,1,Research Scientist,Divorced,173280,4.0,Y,15,8,2,20.0,1,3,2,0,4.0,1.0,3.0,3,3,9.616168503213952
1205,No,39,Travel_Rarely,Sales,25,3,Medical,1,Male,2,Sales Executive,Married,197010,0.0,Y,11,8,0,21.0,3,20,9,6,2.0,4.0,2.0,4,3,7.508998817966901
1206,No,31,Non-Travel,Research & Development,8,4,Life Sciences,1,Female,4,Sales Executive,Single,147320,0.0,Y,12,8,0,10.0,3,9,1,7,2.0,1.0,3.0,3,3,7.308546099290778
1207,No,26,Travel_Rarely,Research & Development,11,4,Medical,1,Male,2,Manager,Single,92780,0.0,Y,20,8,0,5.0,3,4,0,0,4.0,3.0,3.0,3,4,7.500675267317523
1208,No,36,Travel_Frequently,Research & Development,5,1,Technical Degree,1,Male,1,Sales Executive,Married,13590,4.0,Y,12,8,0,17.0,2,5,0,3,3.0,4.0,3.0,3,3,7.694170138888893
1209,No,39,Travel_Rarely,Research & Development,2,1,Medical,1,Female,1,Research Scientist,Married,47790,4.0,Y,14,8,2,9.0,3,7,1,7,4.0,1.0,3.0,3,3,6.046757297551787
1210,No,27,Travel_Rarely,Research & Development,8,2,Medical,1,Male,1,Laboratory Technician,Married,164220,1.0,Y,20,8,1,6.0,3,6,0,3,2.0,2.0,3.0,3,4,9.28656962639495
1211,No,49,Travel_Frequently,Research & Development,6,1,Medical,1,Male,3,Healthcare Representative,Married,29960,2.0,Y,18,8,1,17.0,2,9,0,8,4.0,2.0,2.0,2,3,6.395888653483996
1212,No,34,Travel_Rarely,Sales,4,3,Medical,1,Female,1,Sales Executive,Married,12610,2.0,Y,14,8,1,6.0,6,4,1,2,2.0,3.0,4.0,3,3,6.4605325084910215
1213,Yes,41,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,1,Research Scientist,Single,20990,8.0,Y,12,8,1,8.0,2,6,0,5,2.0,4.0,1.0,3,3,8.626512212643677
1214,No,49,Travel_Frequently,Sales,1,4,Life Sciences,1,Female,2,Manufacturing Director,Married,58100,1.0,Y,21,8,1,10.0,2,10,1,7,3.0,2.0,3.0,3,4,6.713213276836161
1215,Yes,37,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,1,Sales Executive,Single,56470,6.0,Y,19,8,0,7.0,2,0,0,0,4.0,3.0,3.0,3,3,8.521203703703703
1216,No,33,Travel_Frequently,Research & Development,10,2,Medical,1,Male,2,Research Scientist,Married,34200,1.0,Y,14,8,0,8.0,3,8,3,0,4.0,3.0,3.0,3,3,9.4826066572902
1217,No,27,Travel_Rarely,Sales,5,4,Medical,1,Female,4,Manufacturing Director,Married,44000,9.0,Y,17,8,1,6.0,3,2,2,2,1.0,2.0,3.0,2,3,6.404782250470813
1218,No,32,Travel_Frequently,Research & Development,9,2,Medical,1,Female,2,Research Scientist,Single,35000,0.0,Y,16,8,1,8.0,2,7,3,6,4.0,4.0,2.0,2,3,7.2769848053181425
1219,No,59,Travel_Rarely,Sales,2,2,Marketing,1,Female,5,Sales Representative,Married,20660,4.0,Y,12,8,1,12.0,3,1,0,0,3.0,1.0,2.0,3,3,10.03518597997139
1220,No,30,Travel_Rarely,Research & Development,11,4,Medical,1,Male,2,Laboratory Technician,Divorced,171690,1.0,Y,17,8,2,1.0,2,1,0,0,4.0,3.0,3.0,3,3,6.389413324112497
1221,No,38,Travel_Frequently,Sales,18,4,Life Sciences,1,Male,2,Healthcare Representative,Single,41620,0.0,Y,15,8,1,10.0,1,9,1,8,4.0,3.0,3.0,3,3,7.99749885688157
1222,No,36,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,1,Sales Executive,Married,92040,6.0,Y,23,8,1,17.0,2,7,7,7,3.0,3.0,2.0,3,4,7.8321843434343394
1223,No,35,Travel_Rarely,Human Resources,3,4,Human Resources,1,Male,2,Manager,Married,32940,0.0,Y,11,8,0,6.0,2,5,0,3,1.0,2.0,3.0,3,3,7.498361581920904
1224,No,29,Travel_Rarely,Sales,29,4,Life Sciences,1,Male,2,Laboratory Technician,Single,21270,0.0,Y,11,8,1,10.0,3,9,0,8,4.0,3.0,3.0,2,3,10.724693853427892
1225,No,31,Travel_Rarely,Research & Development,2,2,Medical,1,Male,2,Laboratory Technician,Divorced,39750,1.0,Y,15,8,1,5.0,3,5,4,3,.,3.0,2.0,3,3,6.313388399412625
1226,No,34,Travel_Rarely,Research & Development,28,3,Technical Degree,1,Male,1,Laboratory Technician,Divorced,107930,0.0,Y,11,8,3,3.0,1,2,1,2,2.0,4.0,3.0,2,3,7.6140923489278745
1227,Yes,28,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,5,Research Director,Single,100960,5.0,Y,13,8,0,6.0,2,4,0,3,3.0,3.0,3.0,3,3,10.483148148148157
1228,No,29,Travel_Rarely,Research & Development,16,2,Life Sciences,1,Female,4,Laboratory Technician,Divorced,36460,1.0,Y,14,8,0,10.0,3,10,8,8,2.0,1.0,3.0,4,3,7.967326839826838
1229,No,32,Travel_Rarely,Human Resources,22,3,Human Resources,1,Female,2,Research Director,Divorced,74460,0.0,Y,19,8,0,7.0,3,6,0,5,1.0,2.0,2.0,3,3,10.695990028490037
1230,No,22,Non-Travel,Research & Development,8,3,Life Sciences,1,Female,3,Sales Executive,Divorced,108510,1.0,Y,16,8,1,1.0,2,1,0,0,4.0,4.0,2.0,4,3,10.002944444444454
1231,No,53,Travel_Rarely,Research & Development,11,3,Medical,1,Male,2,Manager,Married,21090,2.0,Y,13,8,0,31.0,3,25,3,7,1.0,4.0,3.0,3,3,8.015872011251757
1232,No,38,Travel_Rarely,Research & Development,29,3,Life Sciences,1,Female,1,Manufacturing Director,Single,37220,5.0,Y,14,8,0,6.0,0,3,1,2,4.0,4.0,3.0,3,3,9.685173611111113
1233,No,24,Non-Travel,Research & Development,1,5,Life Sciences,1,Male,3,Research Scientist,Divorced,93800,0.0,Y,16,8,0,5.0,2,4,1,3,1.0,3.0,2.0,2,3,6.907967535436673
1234,Yes,36,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Research Director,Single,54860,7.0,Y,12,8,1,10.0,2,5,0,3,3.0,1.0,3.0,3,3,6.475342066957787
1235,No,34,Travel_Rarely,Sales,24,3,Marketing,1,Male,4,Research Scientist,Single,27420,0.0,Y,11,8,1,13.0,2,12,2,11,1.0,2.0,3.0,3,3,6.094871615312789
1236,No,21,Travel_Rarely,Sales,2,3,Life Sciences,1,Male,2,Manufacturing Director,Single,137570,1.0,Y,12,8,1,0.0,3,0,0,0,3.0,4.0,3.0,3,3,5.997355652595831
1237,Yes,34,Travel_Rarely,Sales,15,2,Marketing,1,Female,2,Research Scientist,Single,84630,2.0,Y,13,8,0,8.0,2,4,1,3,2.0,1.0,3.0,1,3,7.8150634578544125
1238,No,53,Travel_Rarely,Sales,2,1,Life Sciences,1,Male,5,Human Resources,Divorced,31620,4.0,Y,15,8,0,26.0,4,14,4,8,3.0,3.0,2.0,3,3,7.481158625730993
1239,Yes,32,Travel_Frequently,Research & Development,10,3,Medical,1,Female,2,Manufacturing Director,Single,165980,1.0,Y,13,8,0,10.0,2,10,6,7,2.0,1.0,3.0,3,3,9.495272967772967
1240,No,42,Travel_Rarely,Research & Development,10,3,Technical Degree,1,Male,2,Laboratory Technician,Married,66510,0.0,Y,20,8,0,10.0,5,9,4,2,3.0,2.0,3.0,2,4,6.892245179063355
1241,No,44,Travel_Rarely,Research & Development,3,1,Life Sciences,1,Female,1,Manufacturing Director,Married,23450,3.0,Y,15,8,2,24.0,0,22,5,17,1.0,4.0,3.0,3,3,7.101099585062243
1242,No,46,Travel_Rarely,Sales,2,3,Life Sciences,1,Female,1,Research Scientist,Single,34200,3.0,Y,13,8,2,22.0,3,2,2,1,2.0,1.0,2.0,1,3,8.009119565217391
1243,No,33,Travel_Rarely,Sales,3,3,Medical,1,Male,1,Manufacturing Director,Single,43730,4.0,Y,14,8,0,7.0,3,1,0,0,3.0,4.0,3.0,3,3,6.528365606270175
1244,No,44,Travel_Rarely,Human Resources,26,3,Life Sciences,1,Male,5,Healthcare Representative,Married,47590,2.0,Y,21,8,0,9.0,2,4,1,3,4.0,4.0,4.0,3,4,8.532774319963124
1245,No,30,Travel_Rarely,Research & Development,1,4,Technical Degree,1,Female,1,Research Scientist,Single,53010,1.0,Y,16,8,1,10.0,3,10,1,8,4.0,3.0,3.0,3,3,6.116035665294926
1246,Yes,39,Travel_Rarely,Human Resources,1,4,Medical,1,Male,1,Sales Executive,Married,36730,3.0,Y,14,8,1,19.0,3,1,0,0,4.0,4.0,4.0,3,3,6.523863745210726
1247,Yes,24,Travel_Rarely,Human Resources,2,5,Human Resources,1,Male,3,Sales Executive,Married,47680,2.0,Y,11,8,1,6.0,2,2,2,0,2.0,4.0,2.0,2,3,9.67660063752276
1248,No,43,Travel_Rarely,Sales,9,5,Technical Degree,1,Female,1,Research Director,Divorced,12740,1.0,Y,19,8,0,6.0,3,5,1,4,4.0,3.0,2.0,2,3,6.487590218423554
1249,Yes,50,Travel_Rarely,Research & Development,12,4,Medical,1,Male,1,Research Director,Married,49000,1.0,Y,11,8,0,3.0,3,3,0,2,1.0,3.0,3.0,2,3,8.919851394604487
1250,No,35,Travel_Rarely,Sales,2,4,Marketing,1,Male,3,Manufacturing Director,Married,104660,1.0,Y,13,8,0,2.0,1,2,2,2,4.0,4.0,3.0,3,3,7.086650596877868
1251,No,36,Travel_Rarely,Research & Development,25,1,Life Sciences,1,Female,4,Sales Executive,Married,170070,9.0,Y,12,8,1,6.0,2,1,0,0,2.0,1.0,4.0,2,3,9.07866787439613
1252,No,33,Travel_Frequently,Sales,9,2,Marketing,1,Male,4,Human Resources,Married,29090,2.0,Y,11,8,0,10.0,2,5,1,3,3.0,1.0,3.0,2,3,6.5570331465919685
1253,No,35,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Research Scientist,Divorced,57650,1.0,Y,14,8,1,1.0,2,1,0,0,3.0,4.0,3.0,3,3,6.18877033937703
1254,No,27,Travel_Rarely,Sales,8,2,Marketing,1,Female,3,Research Scientist,Divorced,45990,1.0,Y,15,8,1,1.0,3,1,0,0,4.0,1.0,3.0,2,3,7.619807132459971
1255,Yes,26,Travel_Rarely,Sales,4,3,Marketing,1,Male,2,Manager,Single,24040,1.0,Y,12,8,0,1.0,6,1,0,1,1.0,3.0,2.0,3,3,7.6933150434385045
1256,No,27,Travel_Frequently,Sales,24,3,Life Sciences,1,Male,4,Healthcare Representative,Single,31720,1.0,Y,20,8,1,9.0,1,9,1,7,4.0,3.0,3.0,3,4,6.842362854486287
1257,No,30,Travel_Frequently,Research & Development,1,4,Medical,1,Male,1,Research Scientist,Single,20330,1.0,Y,14,8,1,12.0,3,12,3,7,3.0,4.0,3.0,1,3,6.816597525473074
1258,Yes,41,Travel_Rarely,Sales,20,4,Marketing,1,Male,2,Sales Executive,Married,102090,1.0,Y,13,8,1,23.0,2,22,15,8,2.0,3.0,3.0,3,3,5.962092430858809
1259,No,34,Non-Travel,Research & Development,7,2,Technical Degree,1,Female,1,Research Scientist,Single,86200,0.0,Y,13,8,1,10.0,2,9,8,7,2.0,3.0,3.0,2,3,7.820035612535614
1260,No,37,Travel_Rarely,Research & Development,17,3,Life Sciences,1,Female,3,Sales Executive,Married,20640,4.0,Y,16,8,0,8.0,3,1,0,0,2.0,2.0,3.0,2,3,6.10239417989418
1261,No,46,Travel_Frequently,Research & Development,20,3,Technical Degree,1,Male,3,Sales Executive,Single,40350,4.0,Y,14,8,1,14.0,2,9,0,8,1.0,4.0,.,3,3,9.318430100182145
1262,No,35,Travel_Rarely,Research & Development,8,4,Medical,1,Female,3,Research Scientist,Married,38380,1.0,Y,16,8,1,1.0,2,1,0,1,4.0,4.0,3.0,3,3,6.9096932367149755
1263,Yes,48,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,1,Sales Executive,Single,45910,9.0,Y,16,8,0,23.0,6,1,0,0,1.0,3.0,3.0,1,3,9.295721982758621
1264,Yes,28,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Sales Executive,Single,25610,1.0,Y,22,8,1,2.0,3,2,2,2,3.0,3.0,2.0,3,4,10.683428672316385
1265,No,44,Travel_Rarely,Research & Development,1,1,Medical,1,Female,3,Research Scientist,Divorced,15630,5.0,Y,12,8,2,9.0,3,4,1,3,2.0,1.0,2.0,3,3,9.386280345471524
1266,No,35,Non-Travel,Research & Development,5,4,Technical Degree,1,Female,3,Manufacturing Director,Married,48980,2.0,Y,15,8,2,10.0,2,4,2,3,3.0,1.0,3.0,3,3,9.509294421003275
1267,No,26,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Female,3,Sales Executive,Married,47890,7.0,Y,20,8,1,5.0,2,2,0,0,3.0,4.0,2.0,3,4,10.199422544951586
1268,No,33,Travel_Frequently,Sales,29,4,Life Sciences,1,Female,1,Human Resources,Single,31800,1.0,Y,14,8,1,15.0,2,15,8,12,1.0,4.0,3.0,3,3,8.207739229024941
1269,No,35,Travel_Frequently,Research & Development,15,3,Medical,1,Male,3,Manufacturing Director,Married,65490,1.0,Y,20,8,0,9.0,3,9,1,8,2.0,1.0,2.0,3,4,6.473378831417627
1270,No,35,Travel_Rarely,Human Resources,3,2,Life Sciences,1,Female,1,Laboratory Technician,Married,63880,3.0,Y,13,8,0,4.0,6,2,2,2,3.0,1.0,3.0,2,3,8.788953266571294
1271,No,31,Travel_Rarely,Sales,10,2,Life Sciences,1,Female,2,Research Scientist,Divorced,112440,3.0,Y,12,8,1,10.0,3,7,1,7,4.0,4.0,2.0,3,3,6.096067129629634
1272,No,37,Travel_Rarely,Sales,4,3,Marketing,1,Male,4,Human Resources,Divorced,160320,1.0,Y,13,8,0,7.0,2,7,0,7,1.0,3.0,4.0,3,3,7.422623456790124
1273,No,32,Travel_Rarely,Research & Development,21,3,Other,1,Male,2,Sales Executive,Married,23620,1.0,Y,11,8,0,9.0,2,9,7,8,1.0,4.0,3.0,3,3,8.108628093158659
1274,No,38,Travel_Frequently,Research & Development,25,3,Medical,1,Male,2,Manufacturing Director,Single,163280,1.0,Y,17,8,3,10.0,2,10,9,9,4.0,4.0,3.0,3,3,6.241581196581193
1275,No,50,Travel_Rarely,Sales,2,4,Marketing,1,Female,4,Research Scientist,Divorced,83760,5.0,Y,14,8,3,29.0,2,27,13,8,2.0,3.0,2.0,3,3,9.531168091168086
1276,No,59,Travel_Rarely,Research & Development,1,3,Technical Degree,1,Male,1,Laboratory Technician,Single,166060,7.0,Y,11,8,0,28.0,6,21,7,9,1.0,1.0,2.0,3,3,6.9165189125295505
1277,No,36,Travel_Rarely,Sales,1,2,Marketing,1,Female,2,Sales Executive,Divorced,86060,1.0,Y,14,8,2,17.0,3,17,12,8,3.0,3.0,3.0,3,3,6.004865112025601
1278,No,55,Travel_Rarely,Research & Development,7,3,Medical,1,Male,3,Research Scientist,Divorced,22720,2.0,Y,17,8,1,21.0,2,5,0,2,4.0,3.0,3.0,3,3,8.11400137741047
1279,No,36,Travel_Frequently,Research & Development,3,3,Life Sciences,1,Female,2,Laboratory Technician,Single,20180,1.0,Y,13,8,0,6.0,5,6,0,3,2.0,2.0,3.0,3,3,7.215137053352908
1280,No,45,Travel_Rarely,Research & Development,1,2,Medical,1,Female,1,Sales Executive,Divorced,70830,2.0,Y,12,8,1,25.0,5,1,0,0,2.0,1.0,3.0,3,3,6.807199074074076
1281,No,35,Travel_Frequently,Human Resources,9,3,Other,1,Female,2,Sales Representative,Married,40840,4.0,Y,13,8,1,5.0,3,3,1,2,2.0,1.0,2.0,3,3,6.101339326878743
1282,Yes,36,Travel_Rarely,Sales,7,2,Life Sciences,1,Male,4,Laboratory Technician,Married,144110,0.0,Y,18,8,3,2.0,2,1,0,0,4.0,3.0,2.0,4,3,8.892940100594425
1283,No,59,Travel_Frequently,Research & Development,10,4,Life Sciences,1,Male,3,Research Scientist,Single,23080,7.0,Y,19,8,1,20.0,4,4,1,3,1.0,3.0,2.0,2,3,6.78996739130435
1284,No,29,Travel_Rarely,Research & Development,28,4,Life Sciences,1,Female,1,Sales Representative,Married,48410,0.0,Y,11,8,0,6.0,3,5,0,4,3.0,2.0,3.0,3,3,7.82785428436911
